weather,road_type,traffic_density,time_of_day,visibility,accident_prone
Sunny,Highway,High,Morning,Good,1
Rainy,Urban,High,Evening,Poor,1
Foggy,Rural,Low,Night,Poor,1
Sunny,Urban,Medium,Afternoon,Good,0
Rainy,Highway,High,Night,Poor,1
Sunny,Rural,Low,Morning,Good,0
Foggy,Urban,Medium,Evening,Poor,1
Sunny,Highway,Low,Afternoon,Good,0
Rainy,Rural,Medium,Night,Poor,1
Sunny,Urban,High,Morning,Good,0
Foggy,Highway,High,Night,Poor,1
Rainy,Urban,Medium,Evening,Poor,1
Sunny,Rural,Low,Afternoon,Good,0
Foggy,Urban,High,Night,Poor,1
Sunny,Highway,Medium,Morning,Good,0
Rainy,Rural,High,Evening,Poor,1
Sunny,Urban,Low,Afternoon,Good,0
Foggy,Rural,Medium,Night,Poor,1
Rainy,Highway,High,Morning,Poor,1
Sunny,Urban,Medium,Evening,Good,0
